Project,Shape,Serial,FileName,Area,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio,a01,a02,a03,a04,a05,a06,a07,a08,b01,b02,b03,b04,b05,b06,b07,b08,c01,c02,c03,c04,c05,c06,c07,c08,d01,d02,d03,d04,d05,d06,d07,d08
VAL,ELL,1,VAL_ELL_1.png,1.2036296875,0.883713216,964.22,0.831449257,1.237945441125,1.66081573625,1.6576762725,0.9227503785,0.91875,0.924197891,1326.099921,4.13317,0.998634907,0.885393273,0.555597275,0.745383978,1.793637801,1,-0.000374431,0.058609212,-4.54e-05,0.015314632,-3.22e-05,0.002767644,-5.74e-05,-6.59e-17,0.000111668,0.000501534,-4.41e-05,0.000258168,3.84e-05,-0.000151398,-0.000189713,9.71e-17,9.38e-05,-0.000265044,0.000125459,5.22e-05,0.000152117,4.94e-05,7.09e-05,0.637369367,-0.000260219,0.046352343,-6.83e-05,0.010230782,-3.38e-05,0.001681219,2.33e-05
VAL,ELL,10,VAL_ELL_10.png,1.692109375,0.729660989,1355.68125,0.923039323,1.46780808375,2.36649807625,2.362012185,0.9104050915,0.9075,0.91106266975,1889.58461,5.3943925,0.998529337,0.730723728,0.38470359,0.620244782,2.592590239,1,-4.96e-05,0.078851132,-3.37e-05,0.025065653,-3.25e-05,0.009315743,-2.23e-05,3.47e-17,-1.11e-05,-1.09e-06,-3.99e-06,3.26e-07,-6.32e-06,-2.43e-06,-5.91e-06,-7.55e-17,-2.99e-06,1.56e-06,4.98e-06,-6.94e-07,-1.02e-06,-8.96e-07,3.12e-06,0.470470648,-3.92e-05,0.049800698,-3.35e-06,0.016292433,7.58e-06,0.006199248,7.19e-06
VAL,ELL,2,VAL_ELL_2.png,1.18783125,0.865066524,951.68,0.848212391,1.229794177875,1.6898040475,1.687106435,0.8950152685,0.8925,0.895413050375,1349.653659,4.1499875,0.998513156,0.866704464,0.529653898,0.727773246,1.884165565,1,0.000109838,0.062203061,4.91e-05,0.016887697,3.62e-05,0.003676333,1.82e-05,-1.04e-16,-0.000128802,8.52e-06,4.74e-05,1.1e-05,-6.66e-06,1.29e-05,3.85e-05,1.7e-16,-7.11e-05,7.43e-06,-5.18e-05,2.69e-06,-6.05e-05,2.39e-06,1.04e-05,0.613497133,0.000142639,0.047691023,5.05e-05,0.011298592,1.58e-06,0.002175773,-1.29e-06
VAL,ELL,3,VAL_ELL_3.png,1.223203125,0.847328809,980.01125,0.862667484,1.247970588625,1.75480360125,1.7513013025,0.887529654125,0.88375,0.889122920375,1401.002855,4.255275,0.998521701,0.848893449,0.505768371,0.711173938,1.969695373,1,1.06e-05,0.064923719,3.93e-06,0.018323579,4.91e-06,0.004485198,4.07e-06,-1.28e-16,0.000213277,2.33e-05,-2.72e-05,2.6e-05,4.75e-05,2.92e-05,-2.05e-05,2.15e-16,-7.55e-05,-8.57e-05,-6.13e-05,-5.18e-05,-9.01e-06,-2.18e-05,1.36e-06,0.590910628,3.49e-05,0.04864397,3.23e-05,0.012270484,3.17e-05,0.002780216,2.23e-05
VAL,ELL,4,VAL_ELL_4.png,1.452475,0.829409953,1163.5875,0.875062767,1.35990757375,1.95471542625,1.95116792,0.94610075225,0.9425,0.94754064475,1560.900061,4.6871725,0.998618497,0.830800322,0.484007068,0.695706165,2.059191793,1,-0.000204859,0.06761135,-6.36e-06,0.019592838,4.06e-05,0.00529766,-2.27e-05,-9.71e-17,-0.000155917,0.000100425,-7.13e-05,-0.000219751,-6.7e-05,-3.42e-05,-5.44e-05,1.67e-16,0.000218239,0.000117494,0.000143723,9.1e-05,9.47e-05,-1.79e-05,5.72e-05,0.570080873,-3.2e-05,0.049352667,1.42e-05,0.013187755,3.8e-05,0.003407204,3.56e-05
VAL,ELL,5,VAL_ELL_5.png,1.3813125,0.811761058,1106.66375,0.88579858,1.32617559125,1.9467511875,1.94342642,0.90342863725,0.9,0.904123259,1554.710584,4.620275,0.998541788,0.813141553,0.46406751,0.681225007,2.149514904,1,0.000546698,0.070009688,6.32e-05,0.02050687,5.4e-05,0.006133203,-3.39e-05,6.94e-18,0.000287072,9.21e-05,2.47e-05,0.000112809,-3.71e-05,1.99e-05,-1.23e-05,-1.73e-18,-0.000117731,-0.000103964,3.36e-06,-5.31e-06,-4.64e-05,7.17e-05,-1.22e-05,0.550712543,0.000285905,0.049826854,6.98e-05,0.013940062,6.3e-05,0.003992166,3.89e-05
VAL,ELL,6,VAL_ELL_6.png,1.34974375,0.794217658,1081.4625,0.895201664,1.31093368125,1.96371947625,1.959630865,0.8751537445,0.8725,0.875897410875,1567.67503,4.6173375,0.998458106,0.795569178,0.445658864,0.66757686,2.237283545,1,0.000107816,0.072167388,1.41e-05,0.021637576,5.94e-05,0.007034438,9.12e-05,-6.59e-17,-0.000300784,-3.62e-05,-0.000250388,7.46e-05,-2.09e-05,-2.06e-05,-1.31e-05,1.2e-16,0.000192508,3.49e-05,4.2e-05,9.2e-05,-2.55e-05,9.31e-05,-1.74e-05,0.532632214,3.41e-05,0.0501408,6.12e-06,0.014574005,8.86e-06,0.004513061,-6.67e-05
VAL,ELL,7,VAL_ELL_7.png,1.4911171875,0.777198961,1194.7,0.903450864,1.377878575,2.1044538025,2.10075321375,0.902161784625,0.9,0.90298499875,1680.576092,4.9062225,0.998488114,0.778443615,0.428689752,0.654744036,2.326454167,1,-2.68e-05,0.074194317,-1.08e-05,0.022691086,-7.42e-06,0.007624222,-4.22e-06,3.47e-18,6.71e-05,-1.2e-05,-1.07e-05,-1.29e-05,1.87e-06,-1.33e-05,-1.88e-05,-6.94e-18,3.29e-05,5.05e-05,-9.66e-06,4.81e-05,2.31e-05,3.15e-05,-7.7e-06,0.515607713,-3.22e-05,0.050167679,-1.03e-05,0.015134006,1.11e-05,0.004950915,1.97e-05
VAL,ELL,8,VAL_ELL_8.png,1.4139625,0.76115813,1132.94875,0.910745204,1.34175741875,2.08793352125,2.08343766375,0.862251257125,0.86,0.86370738725,1666.720432,4.8276225,0.998429982,0.76239695,0.412966361,0.642624588,2.412203131,1,1.31e-05,0.075875968,6.59e-06,0.023496388,5.28e-06,0.008237694,6.51e-06,5.2e-17,1.95e-05,-1.32e-05,-1.71e-05,-1.27e-05,-7.47e-06,-1.57e-05,-1.83e-05,-9.97e-17,3.4e-05,4.95e-05,3.1e-05,4.5e-05,3.92e-05,2.18e-05,1.16e-05,0.499741551,2.82e-05,0.050214951,2.48e-05,0.015562786,2.07e-05,0.005424738,1.59e-05
VAL,ELL,9,VAL_ELL_9.png,1.7471515625,0.745281014,1399.6075,0.917237283,1.49149001375,2.36316374875,2.35843068875,0.941345646125,0.9375,0.9433106605,1886.716725,5.4237025,0.998652301,0.746360635,0.398339219,0.631141204,2.500163294,1,7.83e-05,0.077310998,5.27e-05,0.024426476,4.07e-05,0.008767913,2.34e-05,-5.12e-17,7.3e-06,1.85e-06,-3.89e-06,9.14e-07,-2.55e-06,1.7e-06,-1.68e-06,1.05e-16,-5.44e-06,5.2e-06,-9.51e-06,-2.18e-06,2.72e-06,3.48e-06,-1.2e-06,0.484554532,5.87e-05,0.049973105,2.43e-05,0.015956646,7.14e-06,0.005816787,-9.72e-06
